Labdoo ID,Status,Hub,Edoovillage,Country,Serial number,Pick me up,Model,Date created,Wh,Dootrips,Notes
24261,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1643 - Congo (Kinshasa), Yakoma: Lycée Maman Leona | ACDC",Congo (Kinshasa),MD1245120100226,no,Medion Akoya MD97974 E2312,2020-08-14,48.84,#000001585,"gespendet von Michaela M. aus Paderborn, vielen Dank."
24260,S6,Labdoo Hub Barcelona @I2CAT Campus Nord | Labdoo School Hub  Barcelona -  Aula 19 Centre de Formació,,Spain,28203666-5001051,no,SONY Vaio VGN-T211XN_13,2020-08-14,0,,Shredding i Imatge CAT60 carregada ok. No arranca de disc dur.
24259,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Edoovillage #1643 - Congo (Kinshasa), Yakoma: Lycée Maman Leona | ACDC",Congo (Kinshasa),YK8U017146,no,FSC Lifebook E8410,2020-08-14,74.88,#000001585,"gespendet von den WBD Wirtschaftsbetrieben Duisburg, vielen Dank."
24258,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1707 - Germany, Duisburg: Kinderheime und Außenwohngruppen Caritas Duisburg | COVID-19-DE",Germany,0B05094163,no,Lenovo ideaPad U410,2020-08-14,48.84,#000001570,"gespendet von Laura B., vielen Dank."
24257,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1659 - Nigeria, Yenegua: Divine Image Kindergarten und Grundschule | Missionsschwestern von Gottes Ebenbild",Nigeria,C04JXN1,no,Dell Latitude E6410,2020-08-14,73.26,#000001713,Ersatz-Festplatte vom Förderverein Labdoo.org e.V.
24256,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1659 - Nigeria, Yenegua: Divine Image Kindergarten und Grundschule | Missionsschwestern von Gottes Ebenbild",Nigeria,93WD4Q1,no,Dell Latitude E6410,2020-08-14,73.26,#000001713,Ersatz-Festplatte vom Förderverein Labdoo.org e.V.
24255,S2,Grassroots,,Spain,CZC745113H,no,HP Compaq dx2300,2020-08-14,0,,sin ratón
24254,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1643 - Congo (Kinshasa), Yakoma: Lycée Maman Leona | ACDC",Congo (Kinshasa),LXBMK02033036B56DA2200,no,Packard Bell Easynote LM MS2290,2020-08-13,48.84,#000001585,"gespendet von Eileen K. aus Versmold, vielen Dank."
24253,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1631 - Ghana, Ejura: Bemi Municipal Assembly Primary School | Ghana Cargo",Ghana,2DCY5Y1,no,Dell Optiplex 7010 SFF,2020-08-13,0,#000001589,"gespendet von Fa. Hünnebeck GmbH, Ratingen / Lintorf , vielen Dank."
24252,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1643 - Congo (Kinshasa), Yakoma: Lycée Maman Leona | ACDC",Congo (Kinshasa),HVFH91RC700224T,no,Samsung NP300E7A,2020-08-13,47.52,#000001585,"gespendet von Udo H. aus Stein, vielen Dank. Reparatur Monitorpanel vom Förderverein Labdoo.org e.V."
24251,S2,Grassroots,,Spain,CZC74954GC,yes,HP Compaq dc5700,2020-08-13,0,,Falta ratón
24250,S2,Grassroots,,Spain,CZC745106J,yes,HP Compaq dx2300,2020-08-13,0,,Falta ratón
24249,S2,Grassroots,,Spain,CZC818312K,yes,HP Compaq dx2400,2020-08-13,0,,Falta ratón
24248,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Edoovillage #1631 - Ghana, Ejura: Bemi Municipal Assembly Primary School | Ghana Cargo",Ghana,DTVF6EG01231502ABB1800,no,Acer Veriton X2611G,2020-08-13,0,#000001589,"gespendet von den WBD Wirtschaftsbetrieben Duisburg , vielen Dank."
24247,S4,Labdoo Hub- Kingdom Builders Ministry,"Edoovillage #1834 - Mexico, Tijuana: Rojo Gomez Church Learning Center (COVID-19-US)",Mexico,CSE1DB683B1,no,HP Probook,2020-08-13,0,,
24246,S4,Labdoo Hub- Kingdom Builders Ministry,"Edoovillage #1462 - United States, East Palo Alto: Aspire Tutorials of Sewa International’s Bay Area Chapter (COVID-19-US)",United States,5CG6160ZB1,no,HP Probook,2020-08-12,0,,
24245,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1643 - Congo (Kinshasa), Yakoma: Lycée Maman Leona | ACDC",Congo (Kinshasa),LXBRB020070501DF911601,no,Packard Bell Easynote TK85 PEW91,2020-08-12,47.52,#000001585,"gespendet von Tina S. aus Magdeburg, vielen Dank. "
24244,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1494 - Tanzania, Dar Es Salaam: WEEDO | Tabasamu e.V.",Tanzania,G90GDN1,no,Dell Inspiron N4010,2020-08-12,57.72,#000001597,
24243,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1643 - Congo (Kinshasa), Yakoma: Lycée Maman Leona | ACDC",Congo (Kinshasa),R9ML47L,no,Lenovo ThinkPad X220,2020-08-12,88.245,#000001585,"gespendet von Sebastian M. aus Ettenheim, vielen Dank. Including docking station. External mouse recommended."
24242,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 65719 Hofheim am Taunus: Tobias Schmidtke,"Edoovillage #1643 - Congo (Kinshasa), Yakoma: Lycée Maman Leona | ACDC",Congo (Kinshasa),LRHTC75,no,Lenovo ThinkPad Edge 0197-2UG,2020-08-12,62.16,#000001585,"gespendet von Sebastian M. aus Ettenheim, vielen Dank."
24241,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Edoovillage #1631 - Ghana, Ejura: Bemi Municipal Assembly Primary School | Ghana Cargo",Ghana,PSVCXE90172010DEC09201,no,Acer Veriton X4610G,2020-08-12,0,#000001589,"gespendet von WBD Wirtschaftsbetriebe Duisburg , vielen Dank."
24240,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 65719 Hofheim am Taunus: Tobias Schmidtke,"Edoovillage #1643 - Congo (Kinshasa), Yakoma: Lycée Maman Leona | ACDC",Congo (Kinshasa),CNU2330LRT / N-608,no,HP ProBook 6460b,2020-08-12,48.84,#000001585,"gespendet von der ProCredit Holding AG & Co. KGaA aus Frankfurt Main, vielen Dank. Ersatzteile (Festplatte) und Reparatur vom Förderverein Labdoo.org e.V."
