Edoovillage,Date created,Hubs,Needed (N),In transit (T),Delivered (D),Remaining (R = N-T-D),% Completed,Number of students,Status,Country,Completed
"Edoovillage #1684 - India, Lawngtlai: Lawngtlai Government College",2020-04-08,Labdoo Hub Oxford,1,0,0,1,0,0,open,India,0
"Edoovillage #1685 - India, Lungpher: Lungpher Phawngpui English Institute",2020-04-08,Labdoo Hub Oxford,1,0,0,1,0,0,open,India,0
"Edoovillage #1686 - Myanmar, Hakha: Chin Christian University",2020-04-08,Labdoo Hub Oxford,5,0,0,5,0,0,open,Myanmar,0
"Edoovillage #1687 - India, Sangau: Sangau Primary-I",2020-04-08,Labdoo Hub Oxford,1,0,0,1,0,0,open,India,0
"Edoovillage #1688 - India, Aizawl: North Point School",2020-04-08,Labdoo Hub Oxford,4,0,0,4,0,380,open,India,0
"Edoovillage #1689 - Germany, Hamburg: Private Hilfsinitiativen Stadt Hamburg | COVID-19-DE",2020-04-09,Labdoo Annahmestelle 21680 Stade (Hub),1,0,1,0,100,1,completed,Germany,1
"Edoovillage #1690 - Switzerland, Geneva: THRIVE (COVID-19-CH)",2020-04-10,Labdoo Hub Zürich (Schweiz),11,0,11,0,100,50,completed,Switzerland,1
"Edoovillage #1691 - South Africa, Hermanus: The Osanalerona Foundation",2020-04-10,Labdoo Hub Zürich (Schweiz),30,0,6,24,20,50,completed,South Africa,1
"Edoovillage #1692 - Kenya, Marsabit: Northern Pastoralist Youth Development Organisation",2020-04-10,Labdoo Hub Zürich (Schweiz),20,2,0,18,10,153,open,Kenya,0
"Edoovillage #1693 - Spain, Cerdanyola: Itineraris de Protecció Individualitzats  (COVID-19-CAT)",2020-04-10,Labdoo City Hub Sant Cugat ,16,0,16,0,100,50,open,Spain,0
"Edoovillage #1694 - Spain, Sant Cugat del Vallès: Institut Joaquima Pla Farreras (COVID-19-CAT)",2020-04-12,Labdoo City Hub Sant Cugat ,1,0,1,0,100,480,open,Spain,0
"Edoovillage #1695 - Austria, 5411 Obralm: Seniorenheim Kahlsperg in Oberalm",2020-04-14,Labdoo Hub Salzburg,3,0,3,0,100,120,completed,Austria,1
"Edoovillage #1696 - Austria, Saalfelden: NMS: Mittelschule Saalfelden Bahnhof",2020-04-14,Labdoo Hub Salzburg,6,0,6,0,100,120,completed,Austria,1
"Edoovillage #1697 - Ghana, ADUAMOA - KWAHU: Aduamoa Presbyterian Model JHS | Ghana Cargo",2020-04-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),13,0,13,0,100,65,completed,Ghana,1
"Edoovillage #1698 - Ghana, ADUAMOA - KWAHU: Aduamoa R/C Basic School | Ghana Cargo",2020-04-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),13,0,13,0,100,65,completed,Ghana,1
"Edoovillage #1699 - Germany, Münster: Laptops für Auszubildende | Missionsschwestern von Gottes Ebenbild eV MSDI",2020-04-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),19,0,19,0,100,29,completed,Germany,1
"Edoovillage #1700 - Germany, Duisburg: Abtei-Gymnasium Corona Telelearning | COVID-19-DE",2020-04-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,26,completed,Germany,1
"Edoovillage #1701 - Spain, TORTOSA: UTE FMF-RESILIS (COVID-19-CAT)",2020-04-16,Labdoo Hub Barcelona @I2CAT Campus Nord,4,0,4,0,100,16,open,Spain,0
"Edoovillage #1702 - Spain, Vilafranca del Penedes: Alt Penedes-Alumnes a casa (COVID-19-CAT)",2020-04-19,Labdoo School Hub Vilafranca - Institut Alt Penedès | Labdoo School Hub Vilafranca - Col·legi Vedruna Sant Elies,17,1,31,0,100,17,open,Spain,0
"Edoovillage #1703 - Spain, Barcelona: SICAR (COVID-19-CAT)",2020-04-19,Labdoo City Hub Sant Cugat ,9,0,10,0,100,14,open,Spain,0
"Edoovillage #1704 - Spain, Barcelona: Fundación Putxet (COVID-19-CAT)",2020-04-20,Labdoo City Hub Sant Cugat ,6,0,6,0,100,6,open,Spain,0
"Edoovillage #1705 - Germany, Münster: Geschwister-Scholl-Realschule Münster | COVID-19-DE",2020-04-20,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),21,0,21,0,100,437,completed,Germany,1
"Edoovillage #1706 - Spain, Granollers: Fundació Reir (COVID-19-CAT)",2020-04-21,Labdoo Hub Girona - Avgda Lluís Pericot,41,0,41,0,100,0,completed,Spain,1
"Edoovillage #1707 - Germany, Duisburg: Kinderheime und Außenwohngruppen Caritas Duisburg | COVID-19-DE",2020-04-21,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),59,0,59,0,100,190,completed,Germany,1
"Edoovillage #1708 - Spain, Vilafranca del Penedes: COVID19 - Pau Boada - Alumnes a Casa (COVID-19-CAT)",2020-04-22,Labdoo School Hub Vilafranca - Institut Alt Penedès | Labdoo School Hub Vilafranca - Col·legi Vedruna Sant Elies,5,1,5,0,100,346,open,Spain,0
"Edoovillage #1710 - Spain, Cornellà del Llobregat : Fundació El Llindar (COVID-19-CAT)",2020-04-22,Labdoo Hub Barcelona @I2CAT Campus Nord,50,1,55,0,100,400,open,Spain,0
"Edoovillage #1711 - Spain, Tarragona: UTE FMF-RESILIS  (COVID-19-CAT)",2020-04-22,Labdoo Hub Barcelona @I2CAT Campus Nord,9,0,9,0,100,36,open,Spain,0
"Edoovillage #1712 - Spain, Girona: UTE FMF-RESILIS (COVID-19-CAT)",2020-04-22,Labdoo Hub Barcelona @I2CAT Campus Nord | Labdoo Hub Girona - Avgda Lluís Pericot,15,4,9,2,86,24,open,Spain,0
"Edoovillage #1713 - Germany, Eichenau: Pflegezentrum Eichenau - Innere Mission München | COVID-19-DE",2020-04-23,Labdoo Annahmestelle 80804 München (Hub),3,0,3,0,100,100,completed,Germany,1
"Edoovillage #1714 - Spain, Barcelona: CRAE Elima  Sabadell (COVID-19-CAT)",2020-04-23,Labdoo City Hub Sant Cugat ,6,0,3,3,50,18,open,Spain,0
"Edoovillage #1715 - Germany, Duisburg: St. Hildegardis-Gymnasium | COVID-19-DE",2020-04-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),21,0,21,0,100,800,completed,Germany,1
"Edoovillage #1716 - Austria, 5026 Salzburg: Haus für Senioren,  Diakoniewerk Salzburg",2020-04-26,Labdoo Hub Salzburg,3,0,3,0,100,120,completed,Austria,1
"Edoovillage #1717 - Austria, Salzburg: Haus für Senioren,",2020-04-26,Labdoo Hub Salzburg,3,0,3,0,100,120,completed,Austria,1
"Edoovillage #1718 - Spain, Sant Cugat del Vallès: Colegio El Pinar de nuestra señora (COVID-19-CAT)",2020-04-27,Labdoo City Hub Sant Cugat ,26,0,27,0,100,26,open,Spain,0
"Edoovillage #1719 - Spain, MOLLERUSA: UTE FMF-RESILIS (COVID-19-CAT)",2020-04-27,Labdoo Hub Barcelona @I2CAT Campus Nord,17,0,7,10,41,18,open,Spain,0
"Edoovillage #1720 - Spain, Barcelona: Associació L'Esquitx (COVID-19-CAT)",2020-04-29,Labdoo Hub Barcelona @I2CAT Campus Nord,15,0,15,0,100,14,open,Spain,0
"Edoovillage #1721 - Germany, Hamburg: DIE ARCHE Kinderstiftung | COVID-19-DE",2020-04-30,Labdoo Annahmestelle 21035 Hamburg - Bergedorf:  PC112 PCFeuerwehr GmbH [nach Absprache geöffnet],11,0,12,0,100,80,completed,Germany,1
"Edoovillage #1722 - United States, Newport Beach: All Things Are Possible (ATAP)",2020-05-01,Labdoo Hub California (South),15,0,15,0,100,45,completed,United States,1
"Edoovillage #1723 - Colombia, Baranquilla: IT/Sprachkurse für Kinder/Jugendliche in Baranquilla | 1915 eV",2020-05-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),25,0,25,0,100,25,completed,Colombia,1
"Edoovillage #1724 - Colombia, Bogota: IT/Sprachkurse für Kinder/Jugendliche in Bogota | 1915 eV",2020-05-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),44,0,44,0,100,90,completed,Colombia,1
"Edoovillage #1725 - Colombia, Medellin: IT/Sprachkurse für Kinder/Jugendliche in Medellin / Toledo | 1915 eV",2020-05-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),18,0,18,0,100,40,completed,Colombia,1
"Edoovillage #1726 - Germany, Freiburg: Corona-Hilfe zur digitalen Teilnahme Home Schooling | COVID-19-DE",2020-05-04,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],0,0,3,0,0,3,completed,Germany,1
"Edoovillage #1727 - Germany, Düsseldorf: Inklusionsteam der Justus von Liebig Realschule | COVID-19-DE",2020-05-05,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),5,0,5,0,100,27,completed,Germany,1
"Edoovillage #1728 - Spain, Sant Cugat del Vallès: Institut Angeleta Ferrer i Sensat (COVID-19-CAT)",2020-05-05,Labdoo City Hub Sant Cugat  | Labdoo School Hub Sant Cugat - Institut Angeleta Ferrer i Sensat,25,0,25,0,100,800,open,Spain,0
"Edoovillage #1729 - Spain, Sant Cugat del Vallès: Institut Leonardo da Vinci (COVID-19-CAT)",2020-05-05,Labdoo City Hub Sant Cugat ,11,0,10,1,90,500,open,Spain,0
"Edoovillage #1730 - Spain, Sant Cugat del Vallès: Institut Arnau Cadell  (COVID-19-CAT)",2020-05-05,Labdoo City Hub Sant Cugat ,7,0,7,0,100,680,open,Spain,0
"Edoovillage #1731 - Spain, El Vendrell: Consell C. Baix Penedès Benestar Social COVID-19-CAT",2020-05-06,Punt de recollida Labdoo- URV Solidària (Tarragona),11,13,18,0,100,0,open,Spain,0
"Edoovillage #1732 - Spain, Sabadell: Spaai Mestral - Fundacio Diagrama (COVID-19-CAT)",2020-05-07,Labdoo Hub Barcelona @I2CAT Campus Nord,0,0,0,0,0,12,completed,Spain,1
"Edoovillage #1733 - Spain, L'Hospitalet de Llobregat: Espai Jove Sidecar (COVID-19-CAT)",2020-05-07,Labdoo Hub Barcelona @I2CAT Campus Nord,10,0,5,5,50,50,open,Spain,0
"Edoovillage #1734 - Spain, Barcelona: Escola Jeroni de Moragas (COVID-19-CAT)",2020-05-07,Labdoo Hub Barcelona @I2CAT Campus Nord,6,0,5,1,83,40,open,Spain,0
"Edoovillage #1735 - Spain, Barcelona: Escola Diputacio (COVID-19-CAT)",2020-05-07,Labdoo Hub Barcelona @I2CAT Campus Nord,8,0,9,0,100,50,open,Spain,0
"Edoovillage #1736 - Spain, Valls:  Serveis d’Intervenció socioeducativa (SIS-Alt Camp) Xarxa comarcal de l'Alt Camp (COVID-19-CAT)",2020-05-08,URV-MongolRally-GoCharlieGo,9,2,3,4,55,225,open,Spain,0
"Edoovillage #1737 - Switzerland, Oberwil-Lieli: Primarschule Falter",2020-05-08,Labdoo Hub Zürich (Schweiz),50,0,6,44,12,221,completed,Switzerland,1
"Edoovillage #1738 - Switzerland, Oberwil-Lieli: Primarschule Falter (Fernunterricht) (COVID-19-CH)",2020-05-08,Labdoo Hub Zürich (Schweiz),20,0,0,20,0,221,completed,Switzerland,1
"Edoovillage #1739 - Uganda, Mbale: Dream School International | Africa (k)now eV",2020-05-11,Labdoo Annahmestelle 21035 Hamburg - Bergedorf:  PC112 PCFeuerwehr GmbH [nach Absprache geöffnet] | Labdoo Annahmestelle 21680 Stade (Hub),15,0,15,0,100,70,open,Uganda,0
"Edoovillage #1740 - Uganda, Mbale: ANA Daycare and Kindergarten | Africa (k)now eV",2020-05-11,Labdoo Annahmestelle 21035 Hamburg - Bergedorf:  PC112 PCFeuerwehr GmbH [nach Absprache geöffnet] | Labdoo Annahmestelle 21680 Stade (Hub),6,0,6,0,100,30,open,Uganda,0
"Edoovillage #1741 - Spain, VALLS: UEC Vallsgenera (COVID-19-CAT)",2020-05-12,Labdoo Hub Barcelona @I2CAT Campus Nord,14,0,4,10,28,14,open,Spain,0
"Edoovillage #1742 - Switzerland, Baden: Schweizerisches Rotes Kreuz Kanton Aargau (COVID-19-CH)",2020-05-13,Labdoo Hub Zürich (Schweiz),50,0,46,4,92,50,completed,Switzerland,1
"Edoovillage #1743 - Switzerland, Winterthur: Glocal Steps - Arbeitsintegrationsprojekt für Menschen mit Fluchthintergrund (COVID-19-CH)",2020-05-13,Labdoo Hub Zürich (Schweiz),13,0,5,8,38,13,completed,Switzerland,1
"Edoovillage #1744 - Germany, Heppenheim: Nibelungenschule Heppenheim | COVID-19-DE",2020-05-13,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,250,completed,Germany,1
"Edoovillage #1745 - Germany, München: Innere Mission - Sozialdienst für Flüchtlinge und Asylsuchende - Heidemannstr 50 Muc",2020-05-13,Labdoo Annahmestelle 80804 München (Hub),17,0,17,0,100,100,completed,Germany,1
"Edoovillage #1746 - Germany, Düsseldorf: Digitale Nachhilfe KRASS e.V. | COVID-19-DE",2020-05-14,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),25,0,25,0,100,25,completed,Germany,1
"Edoovillage #1747 - Germany, München: SFZ Sonderpädagogisches Förderzentrum München Nord-West | COVID-19-DE",2020-05-14,Labdoo Annahmestelle 80804 München (Hub),0,0,0,0,0,170,completed,Germany,1
"Edoovillage #1748 - Spain, Sant Cugat del Vallès: Institut FP Sant Cugat (COVID-19-CAT)",2020-05-14,Labdoo City Hub Sant Cugat ,57,7,41,9,84,400,open,Spain,0
"Edoovillage #1749 - Spain, Terrassa: El Viver, reforç socioeducatiu (COVID-19-CAT)",2020-05-15,Labdoo Hub Medellín / Divergente,56,1,54,1,98,64,open,Spain,0
"Edoovillage #1750 - Ecuador, Tiputini: Cuisine sans frontières - El Fogon",2020-05-15,Labdoo Hub Zürich (Schweiz),5,0,5,0,100,25,completed,Ecuador,1
"Edoovillage #1434 - Spain, Manresa: Fundació del Convent Santa Clara. (COVID-19-CAT)",2020-05-16,Labdoo Hub Manresa,8,0,9,0,100,7,open,Spain,0
"Edoovillage #1751 - Spain, Sant Cugat del Vallès: Escola Santa Isabel (COVID-19-CAT)",2020-05-18,Labdoo City Hub Sant Cugat ,17,1,16,0,100,400,open,Spain,0
"Edoovillage #1752 - Germany, Berlin: Lebenswelt gGmbH interkulturelle Kinder- und Jugendhilfe | COVID-19-DE",2020-05-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),21,0,21,0,100,28,completed,Germany,1
"Edoovillage #1709 - Romania, Piatra Neamt: Fundatia Piatra Neamt - Judo goes Orient",2020-05-19,Labdoo Hub Zürich (Schweiz),11,0,10,1,90,100,completed,Romania,1
"Edoovillage #1753 - Bulgaria, Trjavna: Judo goes Orient - SOS Children's Village Trjavna",2020-05-19,Labdoo Hub Zürich (Schweiz),10,0,10,0,100,80,completed,Bulgaria,1
"Edoovillage #1754 - Cambodia, Kampot: Sonja Kill Memorial Hospital (SKMH)",2020-05-19,Labdoo Hub Zürich (Schweiz),3,0,0,3,0,3,completed,Cambodia,1
"Edoovillage #1755 - Germany, Munich: Evangelisches Pflegezentrum Sendling",2020-05-19,Labdoo Annahmestelle 80804 München (Hub),4,0,4,0,100,0,completed,Germany,1
"Edoovillage #1756 - Zimbabwe, Bulawayo: SwiZimAid - Bulawayo Nook Hub",2020-05-20,Labdoo Hub Zürich (Schweiz),10,1,10,0,100,0,completed,Zimbabwe,1
"Edoovillage #1757 - Switzerland, Widen: Reformierte Kirche Bremgarten-Mutschellen - Asyltreff MUTSCH-CORNER",2020-05-20,Labdoo Hub Zürich (Schweiz),5,0,5,0,100,5,completed,Switzerland,1
"Edoovillage #1758 - Germany, Stolberg: Endgeräte für Home Schooling | COVID-19-DE",2020-05-20,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),3,0,3,0,100,3,completed,Germany,1
"Edoovillage #1759 - Spain, L'Hospitalet de Llobregat: AMPA CEIP Frederic Mistral (COVID-19-CAT)",2020-05-21,Labdoo Hub Barcelona @I2CAT Campus Nord,28,0,28,0,100,396,open,Spain,0
"Edoovillage #1760 - Germany, Dresden / Freital: Endgeräte für Home Schooling | COVID-19-DE",2020-05-23,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,1,completed,Germany,1
"Edoovillage #1761 - Austria, Wien: Notquartier-Nord            Volkshilfe Wien",2020-05-23,Labdoo Hub Salzburg,4,0,4,0,100,120,open,Austria,0
"Edoovillage #1762 - Germany, München: Innere Mission - Sozialdienst für Flüchtlinge und Asylsuchende - Centa-Hafenbrädl-Str. MUC",2020-05-24,Labdoo Annahmestelle 80804 München (Hub),10,0,3,7,30,100,open,Germany,0
"Edoovillage #1763 - Germany, München: Innere Mission - Sozialdienst für Flüchtlinge und Asylsuchende - Willy Brandt Allee MUC",2020-05-24,Labdoo Annahmestelle 80804 München (Hub),10,0,0,10,0,100,open,Germany,0
"Edoovillage #1764 - Germany, München: Innere Mission - Sozialdienst für Flüchtlinge und Asylsuchende -Schleißheimer Str. MUC",2020-05-24,Labdoo Annahmestelle 80804 München (Hub),10,0,2,8,20,100,open,Germany,0
"Edoovillage #1765 - Germany, München: Innere Mission - Sozialdienst für Flüchtlinge und Asylsuchende -Neumarkter Str. MUC",2020-05-24,Labdoo Annahmestelle 80804 München (Hub),10,0,1,9,10,100,open,Germany,0
"Edoovillage #1766 - Germany, München: Innere Mission - Sozialdienst für Flüchtlinge und Asylsuchende -Landsberger Str.  MUC",2020-05-24,Labdoo Annahmestelle 80804 München (Hub),11,0,11,0,100,100,completed,Germany,1
"Edoovillage #1767 - Germany, München: Innere Mission - Sozialdienst für Flüchtlinge und Asylsuchende - Baierbrunnerstr MUC",2020-05-24,Labdoo Annahmestelle 80804 München (Hub),10,0,2,8,20,100,open,Germany,0
"Edoovillage #1768 - Germany, München: Innere Mission - Sozialdienst für Flüchtlinge und Asylsuchende - Am Moosfeld MUC",2020-05-24,Labdoo Annahmestelle 80804 München (Hub),13,0,13,0,100,100,completed,Germany,1
"Edoovillage #1769 - Colombia, Medellin: Filotimo Language School",2020-05-25,Labdoo Hub Zürich (Schweiz),15,0,15,0,100,12,completed,Colombia,1
"Edoovillage #1770 - Germany, Bad Schwalbach: IT-Spenden für Kinder Alleinerziehender Home Schooling | Caritas | COVID-19-DE",2020-05-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,15,completed,Germany,1
"Edoovillage #1771 - Germany, Düsseldorf: Gerricus-Schule IT-Spenden für gehörlose SchülerInnen Home Schooling | COVID-19-DE",2020-05-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),76,0,76,0,100,200,completed,Germany,1
"Edoovillage #1772 - Spain, Girona: Fundació Apip-Acam Girona - Projecte AMPARA (COVID-19)",2020-05-25,Labdoo Hub Girona - Avgda Lluís Pericot,5,0,3,2,60,50,open,Spain,0
"Edoovillage #1773 - Germany, Zierenberg: Elisabeth-Selbert-Schule Home Schooling | COVID-19-DE",2020-05-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 34134 Kassel (Hub),16,0,15,1,93,16,completed,Germany,1
"Edoovillage #1774 - Spain, Badalona: Fundación privada La Salut Alta (COVID-19-CAT)",2020-05-26,Labdoo Hub Barcelona @I2CAT Campus Nord,9,0,2,7,22,144,open,Spain,0
"Edoovillage #1775 - Germany, Malchin: Förderzentrum Lindenschule Malchin | COVID-19-DE",2020-05-27,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,65,completed,Germany,1
"Edoovillage #1776 - Germany, Munich: Netzwerk Soforthilfe für Geflüchtete München",2020-05-28,Labdoo Annahmestelle 80804 München (Hub),25,1,25,0,100,150,completed,Germany,1
"Edoovillage #1777 - Malawi, Nkhotakota: Stipendien Chancen durch Bildung eV",2020-05-29,Labdoo Annahmestelle 80804 München (Hub),6,0,0,6,0,6,open,Malawi,0
"Edoovillage #1778 - Germany, Münster: Schiller Gymnasium Münster Home Schooling | COVID-19-DE",2020-05-29,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),5,0,2,3,40,800,completed,Germany,1
"Edoovillage #1780 - Spain, Barcelona: Fundació privada Benallar (COVID-19-CAT)",2020-05-30,Labdoo Hub Barcelona @I2CAT Campus Nord,18,0,18,0,100,12,open,Spain,0
"Edoovillage #1781 - Spain, Barcelona: Serveis Socials Sarrià,Vallvidrera,Les Planes, Tibidabo i Les Tres Torres (COVID-19-CAT)",2020-06-01,Labdoo City Hub Sant Cugat ,1,0,1,0,100,1,open,Spain,0
"Edoovillage #1782 - Germany, Düsseldorf: Gesamtschule Stettiner Straße | COVID-19-DE",2020-06-02,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),102,0,102,0,100,420,completed,Germany,1
"Edoovillage #1783 - Congo (Kinshasa), Cité d’Idiofa: Complexe scolaire Mère Julienne de Rosaire | Centre des œuvres-mère julienne du Rosaire",2020-06-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),50,0,40,10,80,285,open,Congo (Kinshasa),0
"Edoovillage #1784 - Germany, Munich: AWO Kreisverband München-Land | COVID-19-DE",2020-06-03,Labdoo Annahmestelle 80804 München (Hub),48,0,48,0,100,140,completed,Germany,1
"Edoovillage #1785 - Germany, Eichenau: Germany, Munich: Josef-Dering-Grundschule Eichenau | COVID-19-DE",2020-06-04,Labdoo Annahmestelle 80804 München (Hub),15,8,7,0,100,250,completed,Germany,1
"Edoovillage #1786 - Spain, Sant Cugat del Vallès: Escola d'Art i Disseny SC - COVID-19-CAT",2020-06-04,Labdoo City Hub Sant Cugat ,12,1,9,2,83,150,open,Spain,0
"Edoovillage #1788 - Spain, Barcelona: Asociación ACATHI  (COVID-19-CAT)",2020-06-04,Labdoo Hub - Acollida de persones refugiades a Catalunya (COVID-19-CAT),25,5,16,4,84,30,open,Spain,0
"Edoovillage #1789 - Spain, Rubi: ASAV RUBI (COVID-19-CAT)",2020-06-04,Labdoo Hub Barcelona @I2CAT Campus Nord,20,1,19,0,100,30,open,Spain,0
"Edoovillage #1790 - Germany, Wetter: Berufskolleg Volmarstein | COVID-19-DE",2020-06-05,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),0,0,1,0,0,600,completed,Germany,1
"Edoovillage #1791 - Spain, Sant Cugat del Vallès: Escola Pi d'en Xandri (COVID-19-CAT)",2020-06-06,Labdoo City Hub Sant Cugat ,11,2,9,0,100,496,open,Spain,0
"Edoovillage #1792 - Spain, Sant Cugat del Vallès: Mentoria Gencat (COVID-19-CAT)",2020-06-06,Labdoo City Hub Sant Cugat ,46,1,45,0,100,3000,open,Spain,0
"Edoovillage #1793 - Spain, Girona: Creu Roja Girona - Acollida a persones estrangeres COVID-19-CAT",2020-06-06,Labdoo Hub Girona - Avgda Lluís Pericot,5,0,0,5,0,10,open,Spain,0
"Edoovillage #1794 - Germany, Essen: SWOD Substainable Women for Development eV | COVID-19-DE",2020-06-07,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),19,0,19,0,100,30,completed,Germany,1
"Edoovillage #1795 - Germany, München: Coronahilfe / Integrationsprojekte | Private Initiativen | COVID-19-DE",2020-06-09,Labdoo Annahmestelle 80804 München (Hub),1,0,0,1,0,1,completed,Germany,1
"Edoovillage #1796 - Cameroon,  Bamenda: Sustainable Women for Development SWOD eV",2020-06-10,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),51,0,51,0,100,100,completed,Cameroon,1
"Edoovillage #1797 - Germany, Essen: HSW Hauptschule an der Wächtlerstraße | COVID-19-DE",2020-06-10,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),7,0,7,0,100,7,completed,Germany,1
"Edoovillage #1799 - Spain, Barcelona: Proyecto Chatillon Barcelona (COVID-19-CAT)",2020-06-10,Labdoo Hub - Acollida de persones refugiades a Catalunya (COVID-19-CAT),10,3,7,0,100,20,open,Spain,0
"Edoovillage #1800 - Cameroon, Mbalngong: Lycée Billingue de Mbalngong „Computer Kenntnisse für alle“ | World Happy Families Empowerment eV | COVID-19",2020-06-11,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),29,0,29,0,100,160,completed,Cameroon,1
"Edoovillage #1801 - Spain, barcelona: Escola Cal Maiol (COVID-19-CAT)",2020-06-12,Labdoo Hub Barcelona @I2CAT Campus Nord,90,23,36,31,65,256,open,Spain,0
"Edoovillage #1802 - Germany, Essen: PC-Kenntnisse in der Coronakrise | WHFE World Happy Families Empowerment eV | COVID-19-DE",2020-06-13,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,60,completed,Germany,1
"Edoovillage #1803 - Swaziland, Inyandza: Inyandza High School | Donaly Malungu",2020-06-16,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,30,0,100,400,completed,Swaziland,1
"Edoovillage #1804 - Spain, Barcelona: Fundació Bayt al-Thaqafa COVID-19-CAT",2020-06-16,Labdoo Hub - Acollida de persones refugiades a Catalunya (COVID-19-CAT),6,0,7,0,100,350,open,Spain,0
"Edoovillage #1805 - Germany, Berlin: XENION Psychosoziale Hilfe für politisch Verfolgte eV | COVID-19-DE",2020-06-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),40,0,40,0,100,40,completed,Germany,1
"Edoovillage #1806 - Germany, Moers: Tell Tessy Charity eV | COVID-19-DE",2020-06-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),27,0,27,0,100,50,completed,Germany,1
"Edoovillage #1807 - Cameroon, Mamfe: Together against Corona | Tell Tessy Charity eV | COVID-19-DE",2020-06-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,0,30,0,100,open,Cameroon,0
"Edoovillage #1808 - Germany, Essen: African Mother eV | COVID-19-DE",2020-06-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),18,0,18,0,100,40,completed,Germany,1
"Edoovillage #1809 - Hong Kong S.A.R., China, Hong Kong: Hong Kong Sze Yap Commercial and Industrial Association San Wui Commercial Society School",2020-06-22,Labdoo Hub Hong Kong - Central,10,0,0,10,0,300,open,"Hong Kong S.A.R., China",0
"Edoovillage #1810 - Tanzania, Kibwigwa: Manus Dei Secondary School",2020-06-22,Labdoo Hub Salzburg,10,0,6,4,60,120,completed,Tanzania,1
"Edoovillage #1811 - Spain, Sant Cugat del Vallès: Sant Cugat amb el Poble Saharaui (SCAPS) COVID-19-CAT",2020-06-23,Labdoo City Hub Sant Cugat ,4,0,4,0,100,8,completed,Spain,1
"Edoovillage #1812 - Germany, Hamburg: Lerntherapie und Nachhilfe Jesus Center eV | COVID-19-DE",2020-06-24,Labdoo Annahmestelle 21035 Hamburg - Bergedorf:  PC112 PCFeuerwehr GmbH [nach Absprache geöffnet] | Labdoo Annahmestelle 21680 Stade (Hub) | Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),12,0,12,0,100,12,completed,Germany,1
"Edoovillage #1813 - Spain, Barcelona: Xarxa suport 3 voltes Rebel (COVID-19-CAT)",2020-06-26,Labdoo Hub Barcelona @I2CAT Campus Nord,10,0,0,10,0,10,open,Spain,0
"Edoovillage #1814 - United States, Irvine: Saddleback Church PEACE Center community internet access (COVID-19-US)",2020-06-27,Labdoo Hub California (South),30,0,9,21,30,0,completed,United States,1
"Edoovillage #1815 - Spain, Sant Cugat del Vallès: Escola Joan Maragall COVID-19-CAT",2020-07-08,Labdoo City Hub Sant Cugat ,37,0,37,0,100,466,open,Spain,0
