Edoovillage,Date created,Hubs,Needed (N),In transit (T),Delivered (D),Remaining (R = N-T-D),% Completed,Number of students,Status,Country,Completed
"Mexico, Zapopan: Escuela para adultos o jóvenes que trabajan ",2013-10-01,Labdoo Hub Mexico DF,7,0,4,3,57,22,open,Mexico,0
"Mexico, El Mazunte, Santa María Tonameca: Espacio de experimentación para estimular el intercambio y enriquecimiento de vivencias culturales.",2013-07-31,Labdoo Hub Mexico DF,3,0,2,1,66,400,open,Mexico,0
"Syria, Darkush: Syria, Darkush: Camp school",2013-10-06,Labdoo Annahmestelle 60487 Frankfurt am Main: [zur Zeit geschlossen],6,0,6,0,100,900,completed,Syria,1
"Afghanistan, Bedmoschk: Afghanistan, Wardak, Jaghatu: Primary school in Bedmoschk",2013-10-05,Labdoo Annahmestelle 60487 Frankfurt am Main: [zur Zeit geschlossen],17,0,17,0,100,100,completed,Afghanistan,1
"India, Fort Cochin: Cottolengo Special School for intellectually challenged children",2013-10-05,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,62,completed,India,1
"Liberia, Brewerville / Monrovia: Diana E. Davies, Elementary Junior and Senior High School",2012-10-02,Labdoo Annahmestelle 42287 Wuppertal-Barmen (Hub) | Labdoo Annahmestelle 66629 Oberkirchen (Saar): Ehrenamtliches Café Edelstein Heimat- und Verkehrsverein | WEISELBERG e.V.,48,0,28,20,58,600,open,Liberia,0
"Ecuador, Ambato, Tungurahua: Computer Lab in Luis Vivero Espinosa School",2011-04-11,Labdoo Hub Barcelona @I2CAT Campus Nord,14,0,17,0,100,200,completed,Ecuador,1
"Ecuador, Ambato, Tungurahua: To equip the local rural school with laptops",2012-04-17,Labdoo Hub Barcelona @I2CAT Campus Nord,4,0,4,0,100,20,completed,Ecuador,1
"Thailand, Hua Mak: Hua Mak School",2012-12-19,Labdoo Hub Vilafranca Centre - El Hub de la Gestoria,10,1,10,0,100,10,completed,Thailand,1
"Nepal, Pokhara: Nepal, Pokhara: IEC Inclusion Empowerment Centre",2013-10-21,Labdoo Annahmestelle 42287 Wuppertal-Barmen (Hub),10,0,0,10,0,20,open,Nepal,0
"Mexico, Malinalco: Imaginalco is a program for young people from Malinalco with few opportunities for education",2013-10-22,Labdoo Hub Mexico DF,3,0,1,2,33,30,open,Mexico,0
"Mexico, Mexico City: Promote popular culture projects and the recovery of public spaces",2013-10-22,Labdoo Hub Mexico DF,4,0,2,2,50,60,open,Mexico,0
"Mexico, Aguascalientes: The young people working in the collective need access to TICs to show their work online.",2012-11-27,Labdoo Hub Mexico DF,1,0,1,0,100,4,open,Mexico,0
"Uganda, Nakaseke: Nakseke schools P.T.C staff students, individuals, including women, HIV/AIDS related orphans, and vu",2013-06-09,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],13,0,13,0,100,100,completed,Uganda,1
"Nigeria, Ubiaja: Edeikholor Mixed Secondary School",2013-11-05,Labdoo Annahmestelle 60487 Frankfurt am Main: [zur Zeit geschlossen],20,0,20,0,100,450,completed,Nigeria,1
"Germany, Duisburg: Kindergärten und Kindertagesstätten",2013-03-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),9,0,9,0,100,200,completed,Germany,1
"Thailand, Maesuai: Laptops for Maesuai High School Students to use",2013-01-14,Labdoo Hub Taipei @EWB-Taiwan,10,0,10,0,100,340,completed,Thailand,1
"Kenya, Kangemi: Educating the vulnerable children using computers",2013-11-07,Labdoo Hub Vilafranca Centre - El Hub de la Gestoria,6,0,6,0,100,311,completed,Kenya,1
"Malawi, Chipoka: Primary and Secondary School in Chipoka | Support Malawi e.V.",2013-09-23,Labdoo Annahmestelle 69207 Sandhausen / Rhein-Neckar: Heinrich Wegener (Hub),28,0,23,5,82,1200,open,Malawi,0
"Kenya, Nairobi Kangemi: school and street kids project in Kangemi | Shangilia e.V.",2013-01-28,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),27,0,27,0,100,200,completed,Kenya,1
"Paraguay, Ypacarai: laptops for Norma Hogar",2012-03-24,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),24,0,24,0,100,150,completed,Paraguay,1
